user_id,destination,year,month,visitors,rating,review_text,cost_level,dest_type,city
197,Goa,2021,1,5091,4.1,Adventure sports were thrilling.,3,beach,Goa
142,Goa,2021,1,5091,3.8,Adventure sports were thrilling.,3,beach,Goa
108,Goa,2021,1,5091,4.0,Good food and hotels.,3,beach,Goa
162,Goa,2021,1,5091,3.6,Great place with excellent beaches.,3,beach,Goa
185,Goa,2021,1,5091,4.4,Excellent hospitality.,3,beach,Goa
182,Manali,2021,1,3233,4.2,Excellent hospitality.,2,mountain,Manali
193,Manali,2021,1,3233,3.5,Budget-friendly and great food.,2,mountain,Manali
139,Manali,2021,1,3233,4.4,Adventure sports were thrilling.,2,mountain,Manali
175,Manali,2021,1,3233,4.0,Great place with excellent beaches.,2,mountain,Manali
163,Manali,2021,1,3233,3.9,Budget-friendly and great food.,2,mountain,Manali
194,Jaipur,2021,1,3795,4.2,"Amazing views, perfect for families.",2,culture,Jaipur
143,Jaipur,2021,1,3795,4.2,Must visit for culture lovers.,2,culture,Jaipur
106,Jaipur,2021,1,3795,4.2,Excellent hospitality.,2,culture,Jaipur
167,Jaipur,2021,1,3795,5.0,Must visit for culture lovers.,2,culture,Jaipur
188,Jaipur,2021,1,3795,3.8,Good food and hotels.,2,culture,Jaipur
136,Varanasi,2021,1,2646,3.6,"Amazing views, perfect for families.",2,spiritual,Varanasi
146,Varanasi,2021,1,2646,3.6,Excellent hospitality.,2,spiritual,Varanasi
187,Varanasi,2021,1,2646,4.3,Must visit for culture lovers.,2,spiritual,Varanasi
144,Varanasi,2021,1,2646,4.4,Not well maintained in some areas.,2,spiritual,Varanasi
107,Varanasi,2021,1,2646,4.3,Great place with excellent beaches.,2,spiritual,Varanasi
138,Kerala,2021,1,4000,4.3,Good food and hotels.,3,backwater,Kerala
189,Kerala,2021,1,4000,4.0,Budget-friendly and great food.,3,backwater,Kerala
182,Kerala,2021,1,4000,4.1,Too crowded during holidays.,3,backwater,Kerala
141,Kerala,2021,1,4000,4.3,Too crowded during holidays.,3,backwater,Kerala
178,Kerala,2021,1,4000,3.3,Not well maintained in some areas.,3,backwater,Kerala
153,Rishikesh,2021,1,2004,3.6,Adventure sports were thrilling.,2,adventure,Rishikesh
144,Rishikesh,2021,1,2004,4.5,Too crowded during holidays.,2,adventure,Rishikesh
150,Rishikesh,2021,1,2004,3.2,Budget-friendly and great food.,2,adventure,Rishikesh
156,Rishikesh,2021,1,2004,3.8,"Amazing views, perfect for families.",2,adventure,Rishikesh
113,Rishikesh,2021,1,2004,4.1,Great place with excellent beaches.,2,adventure,Rishikesh
160,Goa,2021,2,5175,3.9,Adventure sports were thrilling.,3,beach,Goa
177,Goa,2021,2,5175,3.4,Budget-friendly and great food.,3,beach,Goa
130,Goa,2021,2,5175,3.4,Too crowded during holidays.,3,beach,Goa
154,Goa,2021,2,5175,3.5,Good food and hotels.,3,beach,Goa
108,Goa,2021,2,5175,4.2,Not well maintained in some areas.,3,beach,Goa
120,Manali,2021,2,3042,3.8,Must visit for culture lovers.,2,mountain,Manali
142,Manali,2021,2,3042,4.2,Great place with excellent beaches.,2,mountain,Manali
155,Manali,2021,2,3042,3.7,Great place with excellent beaches.,2,mountain,Manali
112,Manali,2021,2,3042,3.8,Adventure sports were thrilling.,2,mountain,Manali
164,Manali,2021,2,3042,3.8,Not well maintained in some areas.,2,mountain,Manali
144,Jaipur,2021,2,2141,4.3,Not well maintained in some areas.,2,culture,Jaipur
190,Jaipur,2021,2,2141,4.0,"Amazing views, perfect for families.",2,culture,Jaipur
166,Jaipur,2021,2,2141,3.8,Must visit for culture lovers.,2,culture,Jaipur
115,Jaipur,2021,2,2141,4.0,"Amazing views, perfect for families.",2,culture,Jaipur
170,Jaipur,2021,2,2141,3.2,Good food and hotels.,2,culture,Jaipur
166,Varanasi,2021,2,2365,3.8,"Amazing views, perfect for families.",2,spiritual,Varanasi
111,Varanasi,2021,2,2365,4.6,Budget-friendly and great food.,2,spiritual,Varanasi
196,Varanasi,2021,2,2365,3.8,Good food and hotels.,2,spiritual,Varanasi
198,Varanasi,2021,2,2365,4.4,Great place with excellent beaches.,2,spiritual,Varanasi
